metodo,dataset,tn,fp,fn,tp,accuracy,precision,recall,f1,roc_auc,mcc,time_fs,model,datasets,malware,benigno
autocraft,adroit,3186.0,232.0,660.0,2758.0,0.8695143358689292,0.9224080267558528,0.8069046225863078,0.8607990012484394,0.8695143358689291,0.7448916604767312,10.7514328956604,svm,,,
autocraft,adroit,3106.0,312.0,521.0,2897.0,0.878145114101814,0.9027734496727952,0.847571679344646,0.8743020974800061,0.8781451141018138,0.7577080671164542,10.7514328956604,rf,,,
autocraft,adroit,3032.0,386.0,611.0,2807.0,0.854154476301931,0.8791105543376135,0.8212404915155062,0.849190742701558,0.854154476301931,0.7098486235659393,10.7514328956604,knn,,,
autocraft,androcrawl,9732.0,438.0,798.0,9372.0,0.9392330383480826,0.9553516819571866,0.9215339233038348,0.9381381381381382,0.9392330383480826,0.8790169687008912,15.568320512771606,svm,,,
autocraft,androcrawl,9745.0,425.0,728.0,9442.0,0.9433136676499508,0.9569271308401744,0.928416912487709,0.9424564555572192,0.9433136676499508,0.8870211062895418,15.568320512771606,rf,,,
autocraft,androcrawl,10070.0,100.0,2190.0,7980.0,0.8874139626352016,0.9876237623762376,0.7846607669616519,0.8745205479452055,0.8874139626352016,0.7917267196561038,15.568320512771606,knn,,,
autocraft,android_permissions,5788.0,3289.0,3620.0,5457.0,0.6194227167566376,0.6239423736565287,0.6011898204252506,0.6123548224204679,0.6194227167566375,0.2390043949049395,32.127992391586304,svm,,,
autocraft,android_permissions,5604.0,3473.0,3513.0,5564.0,0.6151812272777349,0.6156910479141308,0.6129778561198634,0.6143314563321188,0.6151812272777349,0.2303646913358198,32.127992391586304,rf,,,
autocraft,android_permissions,5425.0,3652.0,4218.0,4859.0,0.5664867246887738,0.570908236399953,0.5353090228048915,0.552535819877189,0.5664867246887739,0.133232719133989,32.127992391586304,knn,,,
autocraft,defensedroid_apicalls_closeness,4937.0,285.0,701.0,4521.0,0.905591727307545,0.9406991260923844,0.8657602451168135,0.9016753091344236,0.905591727307545,0.8137697322082565,64.06534576416016,svm,,,
autocraft,defensedroid_apicalls_closeness,4965.0,257.0,410.0,4812.0,0.9361355802374568,0.9492996646281318,0.9214860206817312,0.9351860849285784,0.9361355802374568,0.8726457972153613,64.06534576416016,rf,,,
autocraft,defensedroid_apicalls_closeness,4831.0,391.0,578.0,4644.0,0.90721945614707,0.9223435948361468,0.8893144389122941,0.9055279321439016,0.90721945614707,0.814961616427426,64.06534576416016,knn,,,
autocraft,defensedroid_apicalls_degree,4706.0,516.0,623.0,4599.0,0.8909421677518192,0.8991202346041056,0.8806970509383378,0.8898132920576569,0.8909421677518192,0.782048524148077,58.194176197052,svm,,,
autocraft,defensedroid_apicalls_degree,4971.0,251.0,421.0,4801.0,0.935656836461126,0.9503167062549486,0.9193795480658752,0.9345921744208682,0.935656836461126,0.8717757495565259,58.194176197052,rf,,,
autocraft,defensedroid_apicalls_degree,4854.0,368.0,618.0,4604.0,0.905591727307545,0.9259855189058728,0.8816545384909996,0.9032764371198744,0.905591727307545,0.8121146540288992,58.194176197052,knn,,,
autocraft,defensedroid_apicalls_katz,4970.0,252.0,626.0,4596.0,0.9159325928762926,0.948019801980198,0.8801225584067407,0.9128103277060576,0.9159325928762926,0.8340069276246691,64.68774604797363,svm,,,
autocraft,defensedroid_apicalls_katz,4952.0,270.0,406.0,4816.0,0.9352738414400612,0.9469130947699568,0.9222520107238604,0.93441986806364,0.9352738414400612,0.8708430673418566,64.68774604797363,rf,,,
autocraft,defensedroid_apicalls_katz,4816.0,406.0,521.0,4701.0,0.9112409038682496,0.9205012727628744,0.9002297970126388,0.910252686610514,0.9112409038682496,0.8226813230584366,64.68774604797363,knn,,,
autocraft,defensedroid_prs,5669.0,306.0,702.0,5273.0,0.9156485355648536,0.9451514608352752,0.8825104602510461,0.9127574865847324,0.9156485355648536,0.8331288558576413,57.10154366493225,svm,,,
autocraft,defensedroid_prs,5686.0,289.0,671.0,5304.0,0.9196652719665273,0.9483282674772036,0.8876987447698744,0.91701244813278,0.9196652719665273,0.8410511751675075,57.10154366493225,rf,,,
autocraft,defensedroid_prs,5293.0,682.0,662.0,5313.0,0.8875313807531381,0.8862385321100917,0.8892050209205021,0.887719298245614,0.8875313807531381,0.7750671035550475,57.10154366493225,knn,,,
autocraft,drebin_215,5457.0,98.0,211.0,5344.0,0.9721872187218722,0.9819919147372288,0.962016201620162,0.9719014276620896,0.9721872187218724,0.94456988839841,23.533299684524536,svm,,,
autocraft,drebin_215,5470.0,85.0,159.0,5396.0,0.978037803780378,0.9844918810436052,0.9713771377137714,0.977890540050743,0.978037803780378,0.956160450432856,23.533299684524536,rf,,,
autocraft,drebin_215,5385.0,170.0,191.0,5364.0,0.9675067506750676,0.9692808095410193,0.9656165616561656,0.9674452159797998,0.9675067506750676,0.93502018268139,23.533299684524536,knn,,,
autocraft,kronodroid_real_device,35542.0,1213.0,1521.0,35234.0,0.9628077812542511,0.9667187971575164,0.9586178751190314,0.9626512936805004,0.962807781254251,0.925648063162806,250.90402913093567,svm,,,
autocraft,kronodroid_real_device,35757.0,998.0,1221.0,35534.0,0.9698136307985308,0.97268148472572,0.966780029927901,0.9697217787602168,0.9698136307985308,0.9396445563544908,250.90402913093567,rf,,,
autocraft,kronodroid_real_device,35381.0,1374.0,1422.0,35333.0,0.961964358590668,0.9625684474350942,0.9613113862059584,0.9619395061392284,0.961964358590668,0.9239295050587416,250.90402913093567,knn,,,
autocraft,mh_100k,11588.0,1133.0,0.0,12721.0,0.955467337473469,0.9182185650353688,1.0,0.9573659454374412,0.955467337473469,0.91456936864884,154.43681597709656,svm,,,
autocraft,mh_100k,11588.0,1133.0,4.0,12717.0,0.9553101171291564,0.9181949458483756,0.9996855593113748,0.9572089872417298,0.9553101171291564,0.9142279108624544,154.43681597709656,rf,,,
autocraft,mh_100k,12653.0,68.0,11873.0,848.0,0.530657967140948,0.925764192139738,0.0666614259885229,0.1243675295152892,0.530657967140948,0.1645634955915227,154.43681597709656,knn,,,
jowmdroid,adroit,3241.0,177.0,809.0,2609.0,0.855763604447045,0.9364680545585068,0.7633118782913985,0.84107027724049,0.8557636044470451,0.7240115641550665,5.931905269622803,svm,,,
jowmdroid,adroit,3109.0,309.0,586.0,2832.0,0.8690754827384435,0.9016236867239732,0.8285547103569338,0.8635462722976064,0.8690754827384435,0.7405869601359828,5.931905269622803,rf,,,
jowmdroid,adroit,2912.0,506.0,606.0,2812.0,0.8373317729666472,0.8474984930681133,0.8227033352837917,0.834916864608076,0.8373317729666471,0.6749524755404953,5.931905269622803,knn,,,
jowmdroid,androcrawl,9503.0,667.0,1138.0,9032.0,0.9112586037364798,0.9312300237137848,0.888102261553589,0.9091549650208868,0.9112586037364798,0.8234007230687146,10.0375714302063,svm,,,
jowmdroid,androcrawl,9528.0,642.0,1164.0,9006.0,0.9112094395280236,0.933457711442786,0.8855457227138643,0.90887072358462,0.9112094395280236,0.8235043578088946,10.0375714302063,rf,,,
jowmdroid,androcrawl,10113.0,57.0,2678.0,7492.0,0.865535889872173,0.9924493310372234,0.7366764995083579,0.8456459168124612,0.865535889872173,0.7566307906965126,10.0375714302063,knn,,,
jowmdroid,android_permissions,5892.0,3185.0,4107.0,4970.0,0.5983254379200176,0.6094420600858369,0.5475377327310785,0.5768337975858867,0.5983254379200177,0.197673273162904,22.522948026657104,svm,,,
jowmdroid,android_permissions,5627.0,3450.0,3882.0,5195.0,0.5961220667621461,0.6009253903990746,0.5723256582571334,0.5862769439115224,0.5961220667621461,0.1924622279032939,22.522948026657104,rf,,,
jowmdroid,android_permissions,3656.0,5421.0,3129.0,5948.0,0.5290294150049576,0.5231770604274782,0.655282582350997,0.5818252959013988,0.5290294150049576,0.060003219872535,22.522948026657104,knn,,,
jowmdroid,defensedroid_apicalls_closeness,4983.0,239.0,630.0,4592.0,0.9167943316736884,0.9505278410267024,0.8793565683646113,0.9135581418482044,0.9167943316736884,0.8359352273077965,43.19685935974121,svm,,,
jowmdroid,defensedroid_apicalls_closeness,4966.0,256.0,421.0,4801.0,0.9351780926847952,0.9493771010480522,0.9193795480658752,0.9341375620196516,0.9351780926847952,0.8707909823493413,43.19685935974121,rf,,,
jowmdroid,defensedroid_apicalls_closeness,4814.0,408.0,532.0,4690.0,0.9099961700497894,0.9199686151431934,0.8981233243967829,0.9089147286821704,0.9099961700497894,0.8202236174710964,43.19685935974121,knn,,,
jowmdroid,defensedroid_apicalls_degree,4823.0,399.0,634.0,4588.0,0.9010915358100344,0.919991979145779,0.8785905783224818,0.8988147712802429,0.9010915358100344,0.8029965869490885,42.46037077903748,svm,,,
jowmdroid,defensedroid_apicalls_degree,4965.0,257.0,418.0,4804.0,0.9353695901953276,0.9492195218336296,0.9199540405974722,0.9343576777205096,0.9353695901953276,0.871153319132004,42.46037077903748,rf,,,
jowmdroid,defensedroid_apicalls_degree,4696.0,526.0,584.0,4638.0,0.8937188816545385,0.8981409759876066,0.8881654538491,0.8931253610629694,0.8937188816545385,0.7874863378471069,42.46037077903748,knn,,,
jowmdroid,defensedroid_apicalls_katz,4974.0,248.0,591.0,4631.0,0.9196667943316736,0.949169911867186,0.8868249712753734,0.9169389169389168,0.9196667943316736,0.8411500542314956,34.49915027618408,svm,,,
jowmdroid,defensedroid_apicalls_katz,4954.0,268.0,427.0,4795.0,0.9334546150900038,0.9470669563499902,0.9182305630026808,0.9324258629071464,0.9334546150900036,0.86731135996808,34.49915027618408,rf,,,
jowmdroid,defensedroid_apicalls_katz,4702.0,520.0,492.0,4730.0,0.9031022596706244,0.900952380952381,0.9057832248180774,0.9033613445378152,0.9031022596706244,0.806216108900632,34.49915027618408,knn,,,
jowmdroid,defensedroid_prs,5626.0,349.0,715.0,5260.0,0.9109623430962344,0.937778570155108,0.8803347280334728,0.9081491712707184,0.9109623430962344,0.8234710534951454,31.451436281204224,svm,,,
jowmdroid,defensedroid_prs,5684.0,291.0,689.0,5286.0,0.9179916317991632,0.9478214093598708,0.8846861924686192,0.9151662049861496,0.9179916317991632,0.8378440909715524,31.451436281204224,rf,,,
jowmdroid,defensedroid_prs,5500.0,475.0,811.0,5164.0,0.8923849372384938,0.9157652065969144,0.8642677824267783,0.8892715687962803,0.8923849372384938,0.7860136631149417,31.451436281204224,knn,,,
jowmdroid,drebin_215,5480.0,75.0,156.0,5399.0,0.9792079207920792,0.9862988673730362,0.971917191719172,0.9790552180614744,0.9792079207920792,0.9585177465060012,11.002256870269775,svm,,,
