metodo,dataset,tn,fp,fn,tp,accuracy,precision,recall,f1,roc_auc,mcc,time_fs,model
autocraft,adroit,990,2,133,0,0.88,0.0,0.0,0.0,0.4989919354838709,-0.0154523701966097,2.884087324142456,svm
autocraft,adroit,961,31,120,13,0.8657777777777778,0.2954545454545454,0.0977443609022556,0.1468926553672316,0.5332471804511278,0.1107458058277649,2.884087324142456,rf
autocraft,adroit,920,72,108,25,0.84,0.2577319587628865,0.18796992481203,0.217391304347826,0.5576946398253698,0.1327286552272605,2.884087324142456,knn
autocraft,androcrawl,13780,70,844,2405,0.9465465816714428,0.9717171717171718,0.7402277623884272,0.8403214535290007,0.8675868053819393,0.8197264735215385,13.915487051010132,svm
autocraft,androcrawl,13755,95,829,2420,0.9459617521492484,0.9622266401590456,0.744844567559249,0.8396946564885496,0.8689926808915378,0.8174104157755789,13.915487051010132,rf
autocraft,androcrawl,13774,76,890,2359,0.9435054681560324,0.968788501026694,0.7260695598645737,0.8300492610837439,0.8602910976218175,0.80892370182173,13.915487051010132,knn
autocraft,android_permissions,146,830,121,1322,0.6068623398098387,0.6143122676579925,0.916146916146916,0.7354659248956884,0.5328685400406712,0.1029180904836795,5.343031644821167,svm
autocraft,android_permissions,326,650,361,1082,0.5820587019429516,0.6247113163972287,0.7498267498267498,0.6815748031496063,0.5419215716346863,0.0912164809638343,5.343031644821167,rf
autocraft,android_permissions,387,589,468,975,0.5630425795783381,0.6234015345268542,0.6756756756756757,0.6484868639840372,0.5360960345591492,0.0740877033198527,5.343031644821167,knn
autocraft,defensedroid_apicalls_closeness,2874,256,553,2346,0.8658152264057057,0.9016141429669484,0.8092445670921007,0.8529358298491183,0.8637277148559546,0.733824095453332,39.02232599258423,svm
autocraft,defensedroid_apicalls_closeness,2919,211,378,2521,0.9023055233040304,0.9227672035139092,0.8696102104173853,0.8954004617297106,0.9010990349211528,0.8051523559813458,39.02232599258423,rf
autocraft,defensedroid_apicalls_closeness,2824,306,507,2392,0.8651517664620999,0.8865826538176427,0.8251121076233184,0.8547436126496337,0.8636742646742792,0.7308538725640288,39.02232599258423,knn
autocraft,defensedroid_apicalls_degree,2804,321,559,2335,0.8537963116796811,0.8791415662650602,0.8068417415342087,0.8414414414414414,0.8520608707671042,0.708507675863439,41.92209529876709,svm
autocraft,defensedroid_apicalls_degree,2907,218,369,2525,0.9024754942681508,0.920524972657674,0.8724948168624741,0.8958665957069363,0.9013674084312372,0.8053070921549844,41.92209529876709,rf
autocraft,defensedroid_apicalls_degree,2751,374,526,2368,0.850473500581492,0.8636032093362509,0.8182446440912232,0.8403122782114976,0.8492823220456116,0.700823941194487,41.92209529876709,knn
autocraft,defensedroid_apicalls_katz,3076,221,539,2503,0.8801072724404481,0.9188693098384728,0.8228139381985535,0.8681928546652792,0.8778916521444693,0.7627437713869131,38.54905581474304,svm
autocraft,defensedroid_apicalls_katz,3057,240,384,2658,0.901561760530052,0.917184265010352,0.873767258382643,0.8949494949494949,0.9004869048965081,0.803277989940057,38.54905581474304,rf
autocraft,defensedroid_apicalls_katz,2940,357,474,2568,0.8689067676289636,0.877948717948718,0.8441814595660749,0.8607340372046255,0.8679506023945024,0.7375031825528409,38.54905581474304,knn
autocraft,defensedroid_prs,2111,253,309,4094,0.9169499039456184,0.9417989417989416,0.9298205768794005,0.9357714285714286,0.9113992901317476,0.8184442641293519,31.232903480529785,svm
autocraft,defensedroid_prs,2071,293,315,4088,0.9101522092507758,0.9331202921707372,0.9284578696343402,0.930783242258652,0.9022576996225846,0.8028059709421091,31.232903480529785,rf
autocraft,defensedroid_prs,1983,381,288,4115,0.901137874981528,0.9152580071174378,0.9345900522371112,0.9248230138217776,0.8867112697733779,0.7808959759034291,31.232903480529785,knn
autocraft,drebin_215,3751,75,146,953,0.9551269035532997,0.9270428015564204,0.8671519563239308,0.8960977903149977,0.9237746190401672,0.8683094081294629,10.534538745880129,svm
autocraft,drebin_215,3751,75,156,943,0.9530964467005076,0.9263261296660118,0.8580527752502275,0.8908833254605574,0.9192250285033152,0.8620906463406365,10.534538745880129,rf
autocraft,drebin_215,3726,100,170,929,0.9451776649746192,0.902818270165209,0.8453139217470428,0.8731203007518797,0.909588482044457,0.8389419258575265,10.534538745880129,knn
autocraft,kronodroid_real_device,15962,946,1230,13325,0.930839398658742,0.933711723074767,0.9154929577464788,0.9245125927981684,0.9297715557599204,0.860853965429168,97.82340908050536,svm
autocraft,kronodroid_real_device,15885,1023,1027,13528,0.9348441025967008,0.9296955535702014,0.92944005496393,0.929567786710644,0.9344680757431432,0.8689527965504662,97.82340908050536,rf
autocraft,kronodroid_real_device,15791,1117,1292,13263,0.9234338747099768,0.9223226703755216,0.9112332531776022,0.9167444271643338,0.922584925618846,0.84593054646743,97.82340908050536,knn
autocraft,mh_100k,18707,4761,43,7394,0.8445558971040285,0.6083093377211024,0.9942180986957108,0.7547978766843609,0.8956730513931936,0.6925087748891268,193.797327041626,svm
autocraft,mh_100k,18724,4744,154,7283,0.8415143180715094,0.6055541697846512,0.9792927255613822,0.7483559391697493,0.8885725601558402,0.6813690593547501,193.797327041626,rf
autocraft,mh_100k,18791,4677,311,7126,0.8386021679339912,0.6037448106413623,0.9581820626596746,0.7407484407484407,0.8794447044165937,0.6676975741609069,193.797327041626,knn
jowmdroid,adroit,991,1,130,3,0.8835555555555555,0.75,0.0225563909774436,0.0437956204379562,0.5107741632306573,0.1168859742800188,0.8233094215393066,svm
jowmdroid,adroit,964,28,124,9,0.8648888888888889,0.2432432432432432,0.0676691729323308,0.1058823529411764,0.5197216832403591,0.071406923385719,0.8233094215393066,rf
jowmdroid,adroit,938,54,122,11,0.8435555555555555,0.1692307692307692,0.0827067669172932,0.1111111111111111,0.5141356415231627,0.0391216861161281,0.8233094215393066,knn
jowmdroid,androcrawl,13807,43,862,2387,0.9470729282414176,0.9823045267489712,0.734687596183441,0.8406409579151259,0.8657914515213233,0.8219774414643304,7.2014899253845215,svm
jowmdroid,androcrawl,13797,53,849,2400,0.947248377098076,0.9783938035059112,0.7386888273314867,0.8418098912662224,0.8674310562650214,0.8224269065843839,7.2014899253845215,rf
jowmdroid,androcrawl,13646,204,935,2314,0.9333879174220716,0.9189833200953136,0.7122191443521083,0.802496965493324,0.8487449512374259,0.7721757333816573,7.2014899253845215,knn
jowmdroid,android_permissions,189,787,174,1269,0.6027284001653576,0.6172178988326849,0.8794178794178794,0.7253501000285796,0.536532710200743,0.100370270403076,1.8222780227661133,svm
jowmdroid,android_permissions,383,593,433,1010,0.5758577924762298,0.6300686213349969,0.6999306999306999,0.6631648063033486,0.5461743663587926,0.0958246350500158,1.8222780227661133,rf
